;Place of interest;City;Place address;lat_start;long_start;Type of place;Start;id;BiciMAD station;light;number;Station location;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry_type;geometry_coordinates;long_finish;lat_finish;final;Distance
973;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);187;Puente de Vallecas;2;179;Avenida de la Albufera nº 6;1;0;24;10;12;0;Point;[-3.66925, 40.3979722];-3.66925;40.3979722;POINT (4497081.694384822 -408738.5225282516);4947.630489398349
928;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);142;General Perón 1;0;152;Avenida del General Perón frente al nº 4;1;0;24;7;16;0;Point;[-3.6990077, 40.4527164];-3.6990077;40.4527164;POINT (4503175.790852707 -412057.9944127315);4965.435941049329
1054;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);269;Facultad Derecho;0;261;Avenida Complutense nº 23;1;0;24;5;18;0;Point;[-3.72937, 40.45109];-3.72937;40.45109;POINT (4502994.74083288 -415445.0243226733);4966.747260693382
892;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);106;Jorge Juan;2;101;Calle Jorge Juan nº 131;1;0;24;8;16;0;Point;[-3.6691524, 40.4231526];-3.6691524;40.4231526;POINT (4499884.763690793 -408727.6354291694);4991.2084786027835
900;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);114;Mártires Concepcionistas;0;108;Calle Mártires Concepcionistas nº 2;1;0;27;8;18;0;Point;[-3.6706024, 40.4273005];-3.6706024;40.4273005;POINT (4500346.505806655 -408889.3803637784);4995.6094217540185
985;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);199;Diego de león;2;191;Calle Alonso Heredia nº 1;1;0;18;5;11;0;Point;[-3.674, 40.4346388];-3.674;40.4346388;POINT (4501163.401625942 -409268.3776613389);5041.039739331542
957;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);171;Ortega y Gasset 87;2;145;Calle Ortega y Gasset nº 87;1;0;24;16;7;0;Point;[-3.6712823, 40.429887];-3.6712823;40.429887;POINT (4500634.433669591 -408965.2220963005);5045.012361256875
977;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);191;Doctor Esquerdo-Hermosilla;0;183;Calle Hermosilla nº 135;1;0;24;2;21;0;Point;[-3.669339, 40.425635];-3.669339;40.425635;POINT (4500161.103194738 -408748.4503143113);5059.380521830027
986;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);200;Avenida de los Toreros;2;192;Avenida de los Toreros nº 3;1;0;27;17;9;0;Point;[-3.6714166, 40.4318611];-3.6714166;40.4318611;POINT (4500854.189476366 -408980.2030483828);5131.868994935796
929;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);143;General Perón con Poeta Joan Maragall;1;153;Avenida del General Perón frente al nº 36;1;0;24;18;5;0;Point;[-3.693085, 40.4522454];-3.693085;40.4522454;POINT (4503123.359372543 -411397.3082826828);5148.067043830456
932;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);146;Paseo de la Habana 42;2;149;Paseo de la Habana nº 42;1;0;24;10;14;0;Point;[-3.6881689, 40.4498613];-3.6881689;40.4498613;POINT (4502857.962574543 -410848.9132512583);5165.8823994082495
989;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);203;Avenida de América 1;0;195;Calle Padre Indalecio Hernández nº 1;1;0;24;2;22;0;Point;[-3.6754444, 40.4392222];-3.6754444;40.4392222;POINT (4501673.623380044 -409429.4988002647);5208.6007416435195
1033;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);247;Francos Rodríguez;0;239;Calle Francos Rodríguez nº 62;1;0;24;2;20;1;Point;[-3.708002730875242, 40.45673408797698];-3.708002730875242;40.45673408797698;POINT (4503623.037832471 -413061.4121393402);5217.055854064968
